comment,tokenized,sentiment_label
강바오님 정년퇴직 하시더라도 그 후에 동물원 한바퀴 처럼 갖고계신 지식 이렇게 공유해주시면 좋을것 같아요(유튜브 개인채널이나 에버랜드 일잘하면 알아서 모셔가실듯) 따듯하고 정감있는 보이스 매력 못잃어 오랑우탄도 사육하신 경험있으셔서 예쁜 포인트 잘아시는듯 감탄하시네요 앞으로도 저희가 미처 모르는 동물들 매력 찾아서 알려주세요,"[101, 8853, 42144, 28188, 108578, 9670, 10954, 119362, 33077, 9952, 14040, 54141, 17342, 12092, 8924, 56528, 9095, 29364, 14279, 9954, 42144, 119322, 9744, 118866, 102838, 21611, 25387, 9706, 21155, 9638, 82838, 8896, 42815, 14523, 87281, 14867, 9685, 10622, 118627, 8855, 16985, 48549, 113, 9625, 119368, 52015, 8857, 12030, 119253, 49881, 43739, 9559, 41605, 42771, 9641, 119197, 38378, 9524, 16985, 12424, 9283, 119049, 11287, 31503, 118817, 114, 9130, 118817, 12453, 9670, 105197, 84177, 9356, 48653, 9258, 28143, 9290, 119190, 12965, 9580, 62200, 27355, 66554, 12092, 9405, 83811, 35506, 25387, 8885, 86834, 119192, 119185, 119049, 12424, 9576, 119023, 9928, 12030, 15184, 9654, 16985, 14040, 11018, 118817, 8848, 66554, 35506, 14040, 77884, 48549, 9531, 11467, 12092, 9663, 49515, 11287, 9309, 60469, 9283, 47908, 9095, 29364, 27023, 9258, 28143, 9737, 16985, 12424, 9524, 26737, 16323, 24982, 48549, 102]",2
강바오님사육사계의 백종원오은영,"[101, 8853, 42144, 28188, 108578, 12945, 83811, 12945, 21611, 10459, 9331, 22200, 14279, 28188, 10892, 30858, 102]",2
강철원사육사님이 다른 동물친구들 소개해주셔서 넘 좋아요 역시 푸바오 할부지♡♡,"[101, 8853, 47465, 14279, 12945, 83811, 12945, 108578, 10739, 19709, 9095, 29364, 55358, 17196, 27023, 9448, 21789, 14523, 16323, 119049, 12424, 9008, 9685, 16985, 48549, 58466, 9935, 42144, 28188, 9955, 14646, 12508, 111752, 111752, 102]",2
우리 강바오님 정말 인품 ️🫶덕분에 뽀미와 레시에 관해서 하나 더 얻어가고 알아가요 🫶우리 푸바오 독립도 늘 응원해 ️다음주에 만나 바오가족 🫶,"[101, 9604, 12692, 8853, 42144, 28188, 108578, 9670, 89523, 9640, 52951, 100, 100, 9186, 14040, 10530, 8900, 70146, 9952, 16439, 9074, 9550, 12965, 11287, 11664, 9524, 16985, 11287, 48549, 9604, 12692, 9935, 42144, 28188, 9088, 35115, 12092, 9044, 9636, 14279, 14523, 100, 9248, 16439, 9318, 28188, 11287, 52560, 102]",2
강철원 사육사님 아이들 동화책이나  위인전 등의 책 읽어주는 직업도 잘 어울리실거같아요,"[101, 8853, 47465, 14279, 9405, 83811, 12945, 108578, 9519, 10739, 27023, 9095, 18227, 119254, 43739, 9619, 12030, 16617, 28697, 9739, 9642, 12965, 100633, 9707, 26784, 12092, 9654, 9546, 78123, 12692, 31503, 41521, 118615, 16985, 48549, 102]",2
사육사분들이 이렇게 자주 설명해주시면 좋겠어요 ^^뭔가 좀 더 집중되네요,"[101, 9405, 83811, 12945, 37712, 20173, 9638, 82838, 9651, 16323, 9429, 16758, 14523, 87281, 14867, 9685, 118632, 12965, 48549, 167, 167, 9304, 11287, 9682, 9074, 9711, 41693, 118800, 77884, 48549, 102]",2
사육사님이 설명해주는거 너무 좋아요 목소리가 친근해서 동물들한테 더 관심갖게 되네요,"[101, 9405, 83811, 12945, 108578, 10739, 9429, 16758, 14523, 100633, 41521, 9004, 32537, 9685, 16985, 48549, 9284, 22333, 44130, 9781, 50248, 70146, 9095, 29364, 27023, 11102, 119351, 9074, 8900, 71013, 118614, 14153, 9098, 77884, 48549, 102]",2
역시 강바오님️뽀미를 보니유퀴즈 출연 하셨을때 오랑우탄 돌보셨던 이야기가 생각나서 다시보고 왔어요다수의 수다도 다시동물친구들 이야기 들려주시는 거 너무 좋네요,"[101, 58466, 100, 9356, 25503, 42815, 119322, 24891, 9768, 25486, 9952, 119050, 10622, 118832, 9580, 62200, 27355, 66554, 9091, 30005, 119050, 23990, 110148, 11287, 9420, 66540, 16439, 12424, 25805, 30005, 11664, 9594, 12965, 48549, 11903, 57138, 9460, 11903, 12092, 25805, 18778, 29364, 55358, 17196, 27023, 110148, 9117, 26737, 87281, 11018, 8863, 9004, 32537, 9685, 77884, 48549, 102]",2
썸네일 부터 제목까지 기획하신분 넘나 멋쟁이,"[101, 100, 9365, 21876, 9672, 68055, 18382, 8932, 103155, 35506, 25387, 37712, 9008, 16439, 9270, 119202, 10739, 102]",2
더 듣고 싶어요 강할부지 꿀바른 목소리가 너무 친근안심되는 효과는 사람도 똑같나봐요 동물 친구들과 대화가 되는 분 그래서 더 신기하고 감동스럽습니다 늘 건강 조심하시고 오래오래 잘 부탁드립니다,"[101, 9074, 9116, 11664, 9495, 12965, 48549, 8853, 14843, 14646, 12508, 8964, 42144, 37819, 9284, 22333, 44130, 9004, 32537, 9781, 50248, 34951, 71013, 24683, 10002, 11882, 11018, 9405, 61250, 12092, 9145, 118615, 16439, 118990, 48549, 9095, 29364, 9781, 17196, 72482, 9069, 110817, 54780, 9367, 8924, 37388, 12424, 9074, 9487, 12310, 12453, 8848, 18778, 12605, 118867, 119081, 48345, 9044, 8865, 47181, 9678, 71013, 35506, 14040, 11664, 9580, 37388, 28188, 37388, 9654, 9365, 119335, 15001, 35115, 48345, 102]",2
